Chick.code.1,Parent.code,Date,SexParentSel,SexParentMol,SexChickSel,SexChickMol,ChickAge,Location,Latitude,Longitude,RingLocation,RingLatitude,RingLongitude,rnd
W[NCN1]/a,RW[EE]/W[EE],31/05/2022,u,u,u,u,42,"Ouwerkerk, Ouwerkerkse inlagen",51.616,3.972,"Ouwerkerk, Ouwerkerkse inlagen",51.616,3.972,0.511405
W[NCRD]/a,RW[EE]/W[EE],31/05/2022,u,u,u,u,44,"Ouwerkerk, Ouwerkerkse inlagen",51.616,3.972,"Ouwerkerk, Ouwerkerkse inlagen",51.616,3.972,0.973983
W[NCVF]/a,NfYY/aGR,30/07/2022,u,u,u,u,74,"Serooskerke (SD), Flauwers Inlaag",51.68333,3.84166,"Grevelingen, Dwars in den Weg",51.736,3.918,0.300772
W[NCVF]/a,NfYY/aGR,29/07/2022,u,u,u,u,73,"Serooskerke (SD), Flauwers Inlaag",51.68333,3.84166,"Grevelingen, Dwars in den Weg",51.736,3.918,0.427766
W[ND1B]/a,B[K7]a/R[K7],21/07/2023,m,u,u,u,67,"Hornhuizen, Lutjewad",53.4103,6.3413,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.010641
W[ND1B]/a,B[K7]a/R[K7],21/07/2023,m,u,u,u,67,"Groningen, Hornhuizen wad",53.41485,6.3401,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.071759
W[ND1B]/a,,21/07/2023,NA,NA,u,u,67,"Groningen, Hornhuizen wad",53.41485,6.3401,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.196158
W[ND5B]/a,aB[82]/B[82],26/06/2022,u,u,u,u,81,"Onderdijk, Vooroever",52.76667,5.11667,"Onderdijk, Vooroever",52.76667,5.11667,0.147646
W[ND7D]/a,,13/09/2022,NA,NA,u,u,96,"Groninger Kust, Hornhuizen wadrand HVP",53.2441,6.2016,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.643521
W[ND92]/a,,27/06/2023,NA,NA,u,u,38,"Ouwerkerk, Ouwerkerkse inlagen",51.616,3.972,"Ouwerkerk, Ouwerkerkse inlagen",51.616,3.972,0.389683
W[NDAH]/a,,14/08/2024,NA,NA,u,u,71,"Piaam, Kooiwaard",53.03333,5.4,"Vlieland, Not specified",53.28333,5,0.587647
W[NDLN]/a,,30/06/2023,NA,NA,u,u,37,"Ouwerkerk, Ouwerkerkse inlagen",51.616,3.972,"Ouwerkerk, Ouwerkerkse inlagen",51.616,3.972,0.442946
W[NDXU]/a,RNfP/aGY,01/07/2023,u,u,u,u,57,"Zierikzee, Levensstrijd",51.6411,3.8992,"Ouwerkerk, Ouwerkerkse inlagen",51.616,3.972,0.189292
W[NDXU]/a,,01/07/2023,NA,NA,u,u,57,"Zierikzee, Levensstrijd",51.6411,3.8992,"Ouwerkerk, Ouwerkerkse inlagen",51.616,3.972,0.926062
W[NF41]/a,aN/NfYY,22/07/2023,NA,NA,u,u,52,"Onderdijk, Vooroever",52.76667,5.11667,"Onderdijk, Vooroever",52.76667,5.11667,0.844634
W[NF4J]/a,,22/07/2023,NA,NA,u,u,58,"Onderdijk, Vooroever",52.76667,5.11667,"Onderdijk, Vooroever",52.76667,5.11667,0.432062
W[NFCN]/a,,11/08/2023,NA,NA,u,u,83,"Schiermonnikoog, Westerplas",53.4722,6.1513,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.677493
W[NFX1]/a,,03/09/2023,NA,NA,u,u,101,"Schiermonnikoog, Westerplas",53.4722,6.1513,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.432154
W[NFX7]/a,,11/08/2023,NA,NA,u,u,72,"Schiermonnikoog, Westerplas",53.4722,6.1513,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.150141
W[NFX7]/a,W[NA4B]/a,11/08/2023,m,m,u,u,72,"Schiermonnikoog, Westerplas",53.4722,6.1513,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.347887
W[NHCT]/a,,26/08/2024,NA,NA,u,u,84,"Hornhuizen, Lutjewad",53.4103,6.3413,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.843958
W[NHDV]/a,,06/08/2024,NA,NA,u,u,58,"Schiermonnikoog, Westerplas",53.4722,6.1513,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.326661
W[RU]/B[RU],OW[S6]/W[S6]a,26/06/2006,m,u,f,f,39,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.068401
W[V5]/aB[V5],aG[DN]/G[DN],10/06/2006,f,u,m,m,39,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.59341
W[V5]/aB[V5],aG[DN]/G[DN],08/06/2006,f,u,m,m,37,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.468551
W[V5]/aB[V5],aG[DN]/G[DN],06/06/2006,f,u,m,m,35,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.237679
WB[86]/aW[86],aG[DU]/G[DU],07/06/2006,f,u,m,m,36,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.733155
WB[86]/aW[86],aG[DU]/G[DU],12/06/2006,f,u,m,m,41,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.042801
WB[86]/aW[86],aG[DU]/G[DU],10/06/2006,f,u,m,m,39,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.038896
WB[86]/aW[86],aG[DU]/G[DU],11/06/2006,f,u,m,m,40,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.021851
WB[86]/aW[86],aG[DU]/G[DU],08/06/2006,f,u,m,m,37,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.80556
YfLa/GYR,aG[NN]/G[NN],06/06/2007,f,u,f,f,38,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.595922
YfLa/GYR,aG[NN]/G[NN],15/06/2007,f,u,f,f,47,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.770207
YfLa/RYB,WB[R0]/O[R0],10/07/2008,f,u,f,f,42,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.261143
YfLa/YGY,W/OR,06/06/2007,m,u,m,m,41,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.939686
YfRa/RLY,B[U5]/B[U5]a,22/06/2007,f,f,m,m,53,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.595548
YNfN/aRN,BYfG/GaY,29/06/2017,m,m,f,f,64,"Leekstermeer, Middelvennen; De Onlanden",53.1714,6.4175,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.737349
YNfN/aRN,BYfG/GaY,28/06/2017,m,m,f,f,63,"Leekstermeer, Middelvennen; De Onlanden",53.1714,6.4175,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.179709
