Chick.code.1,Parent.code,Date,SexParentSel,SexParentMol,SexChickSel,SexChickMol,ChickAge,Location,Latitude,Longitude,RingLocation,RingLatitude,RingLongitude,rnd
aYfB/BGB,R[BC]/aY[BC],15/06/2007,m,u,f,f,51,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.787202
aYfB/BGB,R[BC]/aY[BC],17/06/2007,m,u,f,f,53,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.29069
aYfB/BRB,B[J]/O[N]a,06/06/2007,m,u,f,f,43,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.515831
aYfL/GYR,B[P6]a/R[P6],21/06/2007,f,u,m,m,37,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.414474
aYG/YfLG,W/OR,30/05/2007,m,u,m,m,39,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.339758
aYG/YfLG,W/OR,06/06/2007,m,u,m,m,46,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.181295
aYP/NfRG,W[K7]/W[K7]a,13/07/2016,f,f,m,m,71,"Rottumerplaat, bij de toren",53.5334,6.5052,"Rottumerplaat, Not specified",53.53333,6.45,0.013706
aYY/NfGR,aLL/YfG,29/08/2016,f,f,u,u,99,"Balgzand, Kuitje",52.938,4.792,"Den Oever, Binnenhaven",52.9258,5.0521,0.105205
aYY/NfGR,aLL/YfG,13/09/2016,f,f,u,u,114,"Balgzand, Kuitje",52.938,4.792,"Den Oever, Binnenhaven",52.9258,5.0521,0.920203
B[77]/aW[77],aB/RO,12/06/2006,f,u,m,m,43,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.595006
B[77]/aW[77],aB/RO,10/06/2006,f,u,m,m,41,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.217913
B[77]/aW[77],aB/RO,13/06/2006,f,u,m,m,44,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.992885
B[77]/aW[77],aB/RO,26/06/2006,f,u,m,m,57,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.387543
B[77]/aW[77],aB/RO,08/06/2006,f,u,m,m,39,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.446992
