"BirdID","date.time","Index","x","y","z","speed_2d","behaviour","annotation.method"
6381,2018-07-04 10:02:14,1,-0.102705410821643,0.0901033973412112,1.0704845814978,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,2,-0.126753507014028,0.0802560315115707,1.01076847772883,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,3,-0.0526052104208417,0.051698670605613,1.02985805188448,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,4,0.030060120240481,0.0768094534711965,1.08663729809104,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,5,0.0786573146292585,0.0787789266371246,1.11600587371512,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,6,-0.00501002004008016,0.0418513047759724,1.03915810083211,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,7,-0.0796593186372745,0.0482520925652388,0.976505139500734,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,8,-0.1312625250501,0.0630231413096997,0.973568281938326,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,9,-0.107715430861723,0.0620384047267356,0.976505139500734,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,10,-0.0956913827655311,0.0388970950270803,1.0704845814978,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,11,-0.0906813627254509,0.086164451009355,1.06216348507097,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,12,-0.0806613226452906,0.0630231413096997,1.01370533529124,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,13,-0.0971943887775551,0.0507139340226489,1.01321585903084,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,14,-0.115731462925852,0.0482520925652388,1.02936857562408,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,15,-0.166332665330661,0.0600689315608075,1.0347528144885,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,16,-0.0981963927855711,0.0905957656326933,1.05971610376897,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,17,-0.140280561122244,0.0782865583456425,1.02104747919726,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,18,-0.162324649298597,0.0723781388478582,1.00978952520803,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,19,-0.197895791583166,0.0955194485475135,0.99657366617719,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,20,-0.212925851703407,0.0886262924667651,0.998042094958394,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,21,-0.208416833667335,0.115706548498277,1.01076847772883,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,22,-0.269038076152305,0.193993106843919,0.973078805677925,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,23,-0.252004008016032,0.0221565731166913,0.963289280469897,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,24,-0.217935871743487,0.154111275233875,1.22026431718062,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,25,-0.301102204408818,0.107828655834564,0.974057758198727,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,26,-0.478957915831663,-0.00787789266371246,0.830151737640724,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,27,-0.394789579158317,0.121122599704579,0.959862946647088,0.0264201682659768,"beg","video"
6381,2018-07-04 10:02:14,28,-0.243486973947896,0.134416543574594,1.1057268722467,0.0264201682659768,"beg","video"
