parentID,chickID,year,n_chicks,nth_chick
6288,6295,2016,1,1
6289,6295,2016,1,1
656,6296,2016,1,1
6118,6298.1,2016,2,1
6284,6299,2016,2,1
6285,6301,2016,1,1
6067,6302,2016,1,1
763,6304,2016,1,1
6291,6304,2016,1,1
6298,6354,2017,1,1
6066,6358.1,2017,1,1
6287,6292,2017,2,2
6284.2,6374.1,2017,1,1
6288,6374.1,2017,1,1
6358,6381,2018,2,2
6288,6315,2018,1,1
6289,6315,2018,1,1
6284.2,1607,2018,1,1
6291,6385,2018,1,1
