"","model.name","K","d-2logL","dAICc","Akaike.weight"
"7","sex.parent + yearf + z.age",8,"0.79","0.00","0.64"
"8","sex.chick + sex.parent + yearf + z.age",9,"0.00","1.21","0.35"
"3","sex.parent + yearf",7,"11.46","8.67","0.01"
"4","sex.chick + sex.parent + yearf",8,"10.67","9.88","0.00"
"5","yearf + z.age",7,"601.05","598.26","0.00"
"6","sex.chick + yearf + z.age",8,"599.56","598.76","0.00"
"1","yearf",6,"611.58","606.79","0.00"
"2","sex.chick + yearf",7,"610.04","607.25","0.00"
