"","effect","group","term","estimate","std.error"
"1","fixed",NA,"(Intercept)",-4.75786775947891,0.659577688093826
"2","fixed",NA,"sex.parentm",-1.48719079222995,0.284789593180932
"3","fixed",NA,"sex.chickm",-0.776743962423564,0.963304051491395
"4","fixed",NA,"z.age",0.647669173854969,0.221803548541369
"5","fixed",NA,"yearf2017",-3.67168858053444,1.04919259053352
"6","fixed",NA,"yearf2018",-1.001198119134,1.17739776588956
"7","ran_pars","birdID.chick","sd__(Intercept)",1.40786208057907,NA
"8","ran_pars","birdID.chick","cor__(Intercept).z.age",0.265053847960969,NA
"9","ran_pars","birdID.chick","sd__z.age",0.658942458233714,NA
