"","model.name","K","d-2logL","dAICc","Akaike.weight"
"7","sex.parent + yearf + z.age",8,"0.61","0.00","0.61"
"8","sex.chick + sex.parent + yearf + z.age",9,"0.00","1.39","0.31"
"3","sex.parent + yearf",7,"8.84","6.23","0.03"
"6","sex.chick + yearf + z.age",8,"7.14","6.53","0.02"
"5","yearf + z.age",7,"9.93","7.33","0.02"
"4","sex.chick + sex.parent + yearf",8,"8.48","7.87","0.01"
"2","sex.chick + yearf",7,"16.09","13.49","0.00"
"1","yearf",6,"18.51","13.90","0.00"
