"","effect","group","term","estimate","std.error"
"1","fixed",NA,"(Intercept)",-1.87261969746475,0.320377991414746
"2","fixed",NA,"sex.parentm",-1.03442862913745,0.0430881301412554
"3","fixed",NA,"sex.chickm",-0.35782702854803,0.450135460343104
"4","fixed",NA,"z.age",-0.540425874504213,0.157485082387162
"5","fixed",NA,"yearf2017",-3.58724717992363,0.453963688687683
"6","fixed",NA,"yearf2018",-0.988888280072455,0.627899832889724
"7","ran_pars","birdID.chick","sd__(Intercept)",0.718433738324281,NA
"8","ran_pars","birdID.chick","cor__(Intercept).z.age",-0.0278326127037759,NA
"9","ran_pars","birdID.chick","sd__z.age",0.568424724002653,NA
