"","model.name","K","d-2logL","dAICc","Akaike.weight"
"7","sex.parent + yearf + z.age",8,"0.15","0.00","0.71"
"8","sex.chick + sex.parent + yearf + z.age",9,"0.00","1.85","0.28"
"3","sex.parent + yearf",7,"12.57","10.42","0.00"
"4","sex.chick + sex.parent + yearf",8,"12.31","12.16","0.00"
"5","yearf + z.age",7,"47.72","45.57","0.00"
"6","sex.chick + yearf + z.age",8,"47.44","47.29","0.00"
"1","yearf",6,"60.40","56.25","0.00"
"2","sex.chick + yearf",7,"59.67","57.52","0.00"
