"","model.name","K","d-2logL","dAICc","Akaike.weight"
"7","sex.parent + yearf + z.age",8,"0.55","0.00","0.65"
"8","sex.chick + sex.parent + yearf + z.age",9,"0.00","1.45","0.32"
"3","sex.parent + yearf",7,"9.24","6.68","0.02"
"4","sex.chick + sex.parent + yearf",8,"8.72","8.17","0.01"
"5","yearf + z.age",7,"629.32","626.77","0.00"
"6","sex.chick + yearf + z.age",8,"628.06","627.50","0.00"
"1","yearf",6,"638.09","633.54","0.00"
"2","sex.chick + yearf",7,"636.83","634.28","0.00"
