"","model.name","K","d-2logL","dAICc","Akaike.weight"
"8","sex.chick + sex.parent + yearf + z.age",9,"0.00","0.00","0.51"
"7","sex.parent + yearf + z.age",8,"2.51","0.51","0.39"
"6","sex.chick + yearf + z.age",8,"5.61","3.61","0.08"
"5","yearf + z.age",7,"11.38","7.38","0.01"
"4","sex.chick + sex.parent + yearf",8,"11.98","9.98","0.00"
"3","sex.parent + yearf",7,"14.32","10.32","0.00"
"2","sex.chick + yearf",7,"17.69","13.69","0.00"
"1","yearf",6,"23.22","17.22","0.00"
