"","effect","group","term","estimate","std.error"
"1","fixed",NA,"(Intercept)",-6.17262536425588,0.224531216085104
"2","fixed",NA,"sex.parentm",-0.531327303032599,0.171425596780867
"3","fixed",NA,"sex.chickm",-0.212197451707188,0.245466058018512
"4","fixed",NA,"z.age",-0.980847722258133,0.239048789174527
"5","fixed",NA,"yearf2017",-2.11398092433478,0.376757819605549
"6","fixed",NA,"yearf2018",0.158382999463418,0.312187529932625
"7","ran_pars","birdID.chick","sd__(Intercept)",0.515456478095839,NA
"8","ran_pars","birdID.chick","cor__(Intercept).z.age",0.919853838120338,NA
"9","ran_pars","birdID.chick","sd__z.age",0.736216618808492,NA
