"","model.name","K","d-2logL","dAICc","Akaike.weight"
"7","sex.parent + yearf + z.age",8,"0.75","0.00","0.57"
"8","sex.chick + sex.parent + yearf + z.age",9,"0.00","1.25","0.31"
"3","sex.parent + yearf",7,"6.81","4.06","0.08"
"4","sex.chick + sex.parent + yearf",8,"5.86","5.11","0.04"
"5","yearf + z.age",7,"41.00","38.25","0.00"
"6","sex.chick + yearf + z.age",8,"40.08","39.33","0.00"
"1","yearf",6,"48.01","43.26","0.00"
"2","sex.chick + yearf",7,"46.66","43.92","0.00"
