"","model.name","K","d-2logL","dAICc","Akaike.weight"
"7","sex.parent + z.age",7,"0.13","0.00","0.72"
"8","sex.chick + sex.parent + z.age",8,"0.00","1.88","0.28"
"3","sex.parent",6,"25.69","23.56","0.00"
"4","sex.chick + sex.parent",7,"25.53","25.40","0.00"
"5","z.age",6,"40.31","38.18","0.00"
"6","sex.chick + z.age",7,"40.20","40.07","0.00"
"1","",5,"65.66","61.53","0.00"
"2","sex.chick",6,"65.53","63.40","0.00"
