"","model.name","K","d-2logL","dAICc","Akaike.weight"
"8","sex.chick + sex.parent + yearf + z.age",9,"0.00","0.00","0.58"
"7","sex.parent + yearf + z.age",8,"2.79","0.79","0.39"
"4","sex.chick + sex.parent + yearf",8,"9.30","7.30","0.02"
"3","sex.parent + yearf",7,"12.08","8.08","0.01"
"6","sex.chick + yearf + z.age",8,"27.92","25.92","0.00"
"5","yearf + z.age",7,"32.62","28.62","0.00"
"2","sex.chick + yearf",7,"37.40","33.39","0.00"
"1","yearf",6,"42.06","36.06","0.00"
