"","model.name","K","d-2logL","dAICc","Akaike.weight"
"7","sex.parent + z.age",7,"0.01","0.00","0.73"
"8","sex.chick + sex.parent + z.age",8,"0.00","1.99","0.27"
"3","sex.parent",6,"19.63","17.62","0.00"
"4","sex.chick + sex.parent",7,"19.60","19.59","0.00"
"5","z.age",6,"44.80","42.79","0.00"
"6","sex.chick + z.age",7,"44.79","44.78","0.00"
"1","",5,"64.37","60.36","0.00"
"2","sex.chick",6,"64.34","62.33","0.00"
