"","model.name","K","d-2logL","dAICc","Akaike.weight"
"6","sex.chick + yearf + z.age",8,"1.32","0.00","0.40"
"8","sex.chick + sex.parent + yearf + z.age",9,"0.00","0.68","0.28"
"7","sex.parent + yearf + z.age",8,"2.73","1.41","0.20"
"5","yearf + z.age",7,"5.63","2.31","0.12"
"2","sex.chick + yearf",7,"17.27","13.95","0.00"
"4","sex.chick + sex.parent + yearf",8,"15.81","14.49","0.00"
"3","sex.parent + yearf",7,"18.20","14.88","0.00"
"1","yearf",6,"21.33","16.01","0.00"
