"","model.name","K","d-2logL","dAICc","Akaike.weight"
"5","z.age",6,"0.12","0.00","0.53"
"7","sex.parent + z.age",7,"0.00","1.88","0.21"
"6","sex.chick + z.age",7,"0.12","2.00","0.19"
"8","sex.chick + sex.parent + z.age",8,"0.00","3.88","0.08"
"1","",5,"30.88","28.75","0.00"
"3","sex.parent",6,"30.82","30.70","0.00"
"2","sex.chick",6,"30.88","30.75","0.00"
"4","sex.chick + sex.parent",7,"30.82","32.70","0.00"
