"","model.name","K","d-2logL","dAICc","Akaike.weight"
"8","sex.chick + sex.parent + yearf + z.age",9,"0.00","0.00","0.32"
"7","sex.parent + yearf + z.age",8,"2.36","0.35","0.27"
"6","sex.chick + yearf + z.age",8,"2.67","0.67","0.23"
"5","yearf + z.age",7,"5.12","1.12","0.18"
"4","sex.chick + sex.parent + yearf",8,"14.06","12.06","0.00"
"3","sex.parent + yearf",7,"16.39","12.39","0.00"
"2","sex.chick + yearf",7,"16.77","12.77","0.00"
"1","yearf",6,"19.19","13.19","0.00"
