"","effect","group","term","estimate","std.error"
"1","fixed",NA,"(Intercept)",-2.05796372995204,0.330725748706326
"2","fixed",NA,"sex.parentm",-1.01311768399306,0.0431653955675777
"3","fixed",NA,"sex.chickm",-0.46430979915782,0.417279889837069
"4","fixed",NA,"z.age",-0.635292999226068,0.158242760175445
"5","fixed",NA,"yearf2017",-3.43103774974587,0.510066451228516
"6","fixed",NA,"yearf2018",-0.66471434236336,0.604313425384233
"7","ran_pars","birdID.chick","sd__(Intercept)",0.810788912476516,NA
"8","ran_pars","birdID.chick","cor__(Intercept).z.age",0.280414271628821,NA
"9","ran_pars","birdID.chick","sd__z.age",0.585180839293627,NA
