"","model.name","K","d-2logL","dAICc","Akaike.weight"
"7","sex.parent + yearf + z.age",8,"0.98","0.00","0.48"
"8","sex.chick + sex.parent + yearf + z.age",9,"0.00","1.02","0.29"
"3","sex.parent + yearf",7,"5.40","2.42","0.14"
"4","sex.chick + sex.parent + yearf",8,"4.41","3.43","0.09"
"5","yearf + z.age",7,"758.46","755.47","0.00"
"6","sex.chick + yearf + z.age",8,"757.33","756.34","0.00"
"1","yearf",6,"762.89","757.91","0.00"
"2","sex.chick + yearf",7,"761.76","758.78","0.00"
