"","model.name","K","d-2logL","dAICc","Akaike.weight"
"5","yearf + z.age",7,"0.05","0.00","0.50"
"7","sex.parent + yearf + z.age",8,"0.00","1.95","0.19"
"6","sex.chick + yearf + z.age",8,"0.05","2.00","0.19"
"8","sex.chick + sex.parent + yearf + z.age",9,"0.00","3.95","0.07"
"1","yearf",6,"8.01","5.95","0.03"
"3","sex.parent + yearf",7,"7.86","7.80","0.01"
"2","sex.chick + yearf",7,"7.90","7.85","0.01"
"4","sex.chick + sex.parent + yearf",8,"7.74","9.69","0.00"
