"","model.name","K","d-2logL","dAICc","Akaike.weight"
"8","sex.chick + sex.parent + yearf + z.age",9,"0.00","0.00","0.40"
"7","sex.parent + yearf + z.age",8,"2.65","0.65","0.29"
"4","sex.chick + sex.parent + yearf",8,"3.60","1.60","0.18"
"3","sex.parent + yearf",7,"6.09","2.09","0.14"
"6","sex.chick + yearf + z.age",8,"82.74","80.74","0.00"
"5","yearf + z.age",7,"86.02","82.02","0.00"
"2","sex.chick + yearf",7,"86.18","82.18","0.00"
"1","yearf",6,"89.24","83.23","0.00"
