"","model.name","K","d-2logL","dAICc","Akaike.weight"
"8","sex.chick + sex.parent + z.age",8,"0.00","0.00","0.61"
"7","sex.parent + z.age",7,"2.95","0.95","0.38"
"6","sex.chick + z.age",7,"13.92","11.92","0.00"
"4","sex.chick + sex.parent",7,"14.13","12.13","0.00"
"3","sex.parent",6,"16.65","12.64","0.00"
"5","z.age",6,"16.66","12.65","0.00"
"2","sex.chick",6,"27.88","23.88","0.00"
"1","",5,"30.23","24.22","0.00"
